2026-01-28 06:53:16 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/onnx_optim/optimize_onnx.py (cwd=None)
2026-01-28 07:32:03 | INFO     | run_pipeline.py:72 | Pipeline started
2026-01-28 07:32:03 | WARNING  | run_pipeline.py:73 | This is a warning
2026-01-28 07:32:03 | ERROR    | run_pipeline.py:74 | Something went wrong
2026-01-28 07:32:04 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/profiling/pytorch_profiler.py (cwd=None)
2026-01-28 07:32:41 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=0) in 37.72s
2026-01-28 07:32:41 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/onnx_export/export_to_onnx.py (cwd=None)
2026-01-28 07:34:49 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=0) in 128.01s
2026-01-28 07:34:49 | INFO     | run_pipeline.py:92 | [CMD] ls -lh /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/models (cwd=None)
2026-01-28 07:34:50 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=0) in 0.07s
2026-01-28 07:34:50 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/onnx_optim/optimize_onnx.py (cwd=None)
2026-01-28 07:35:44 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=0) in 54.74s
2026-01-28 07:35:44 | INFO     | run_pipeline.py:92 | [CMD] ls -lh /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/models (cwd=None)
2026-01-28 07:35:44 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=0) in 0.02s
